boro_ct,tree_count,percent_oncurb,percent_goodhealth,percent_fairhealth,percent_poorhealth,num_species,percent_damaged,borocode,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_SNGPNT
1000600,164,90.85365853658537,75.60975609756098,17.682926829268293,6.7073170731707314,24,14.024390243902438,1,39.3,10.7,14554.0,49.8,26.3,17.9,7.7
1001402,123,99.1869918699187,52.84552845528455,37.39837398373984,9.75609756097561,22,18.69918699186992,1,29.1,3.1,35518.0,25.3,14.9,8.5,3.6
1001600,269,86.61710037174721,78.81040892193309,16.728624535315983,4.4609665427509295,25,12.267657992565056,1,33.4,3.5,28665.0,37.9,21.0,14.1,2.2
1001800,301,80.73089700996678,84.0531561461794,13.621262458471762,2.3255813953488373,32,10.299003322259136,1,25.2,6.4,35524.0,30.4,12.7,8.1,1.9
1002201,112,97.32142857142857,77.67857142857143,12.5,9.821428571428571,23,10.714285714285714,1,29.1,13.9,26508.0,18.8,13.9,9.3,7.9
1002202,113,92.03539823008849,89.38053097345133,7.964601769911504,2.6548672566371683,20,6.1946902654867255,1,17.6,5.2,63717.0,5.8,5.3,6.4,5.8
1002601,196,99.48979591836735,76.53061224489795,18.367346938775512,5.1020408163265305,29,17.346938775510203,1,24.6,6.4,37337.0,26.8,5.7,18.0,10.0
1002602,259,99.61389961389962,73.74517374517374,23.55212355212355,2.7027027027027026,35,9.266409266409266,1,15.2,2.7,56825.0,13.6,10.6,8.0,0.8
1002800,271,92.25092250922509,76.01476014760148,18.45018450184502,5.535055350553505,31,18.819188191881917,1,29.7,10.5,28807.0,23.5,14.3,17.2,15.1
1002900,70,88.57142857142857,72.85714285714286,21.428571428571427,5.714285714285714,7,14.285714285714286,1,17.7,5.3,29828.0,36.5,20.7,8.0,1.8
1003001,225,100.0,78.66666666666667,16.444444444444443,4.888888888888889,32,16.444444444444443,1,17.1,8.8,62211.0,10.0,3.3,6.8,0.6
1003200,260,99.61538461538461,74.61538461538461,20.76923076923077,4.615384615384615,44,16.53846153846154,1,14.0,4.8,53809.0,2.3,15.5,6.0,2.3
1003601,146,84.93150684931507,81.5068493150685,17.123287671232877,1.36986301369863,20,23.28767123287671,1,24.2,12.9,48235.0,27.9,10.6,17.4,8.1
1003700,475,94.52631578947368,64.63157894736842,30.736842105263158,4.631578947368421,40,16.210526315789473,1,6.1,5.2,130383.0,4.2,16.2,16.4,5.6
1003900,480,81.45833333333333,70.0,24.166666666666668,5.833333333333333,28,7.083333333333333,1,5.6,3.2,143010.0,2.7,16.9,22.1,4.0
1004000,300,99.66666666666667,78.33333333333333,16.333333333333332,5.333333333333333,33,34.0,1,11.3,4.4,61922.0,4.1,4.2,7.1,2.5
1004100,84,100.0,84.52380952380952,11.904761904761905,3.5714285714285716,12,30.952380952380953,1,17.3,4.9,58444.0,24.8,14.7,9.4,2.6
1004300,210,100.0,78.57142857142857,16.19047619047619,5.238095238095238,28,9.047619047619047,1,14.1,5.6,65064.0,11.7,9.9,5.6,2.0
1004800,253,100.0,83.39920948616601,14.229249011857707,2.3715415019762847,23,31.225296442687746,1,8.9,7.2,93629.0,2.6,14.1,6.7,1.3
1004900,229,87.77292576419214,86.02620087336244,10.043668122270743,3.930131004366812,26,27.074235807860262,1,6.6,3.9,96459.0,0.5,14.7,12.0,0.3
1005000,355,100.0,80.0,13.80281690140845,6.197183098591549,31,16.901408450704224,1,8.4,8.5,116546.0,0.5,13.3,8.3,2.9
1005400,98,100.0,90.81632653061224,7.142857142857143,2.0408163265306123,14,19.387755102040817,1,6.2,1.6,129047.0,4.8,14.0,11.0,2.2
1005501,97,88.65979381443299,64.94845360824742,29.896907216494846,5.154639175257732,16,25.77319587628866,1,4.5,1.3,74169.0,1.0,14.7,14.2,3.0
1005502,110,99.0909090909091,72.72727272727273,19.09090909090909,8.181818181818182,19,28.181818181818183,1,14.2,5.7,115427.0,5.1,13.4,8.7,2.3
1005800,69,100.0,94.20289855072464,4.3478260869565215,1.4492753623188406,8,5.797101449275362,1,3.7,4.5,142141.0,3.1,8.5,11.1,2.6
1005900,173,100.0,68.20809248554913,26.589595375722542,5.202312138728324,19,34.104046242774565,1,3.3,2.2,128711.0,0.7,19.6,6.5,0.6
